event_id,cap,actual_recalled,candidate_count,split
TR_188,40,1,40,train
TR_188,80,1,51,train
TR_189,20,0,20,train
TR_189,40,1,40,train
TR_189,80,1,66,train
TR_190,20,1,12,train
TR_190,40,1,12,train
TR_190,80,1,12,train
TR_191,20,1,20,train
TR_191,40,1,33,train
TR_191,80,1,33,train
TR_192,20,1,20,train
TR_192,40,1,22,train
TR_192,80,1,22,train
TR_193,20,1,19,train
TR_193,40,1,19,train
TR_193,80,1,19,train
TR_194,20,1,20,train
TR_194,40,1,40,train
TR_194,80,1,80,train
TR_195,20,1,20,train
TR_195,40,1,40,train
TR_195,80,1,71,train
TR_196,20,1,20,train
TR_196,40,1,40,train
TR_196,80,1,64,train
TR_197,20,1,20,train
TR_197,40,1,40,train
TR_197,80,1,49,train
TR_198,20,1,20,train
TR_198,40,1,40,train
TR_198,80,1,48,train
TR_199,20,1,20,train
TR_199,40,1,22,train
TR_199,80,1,22,train
TR_200,20,1,20,train
TR_200,40,1,40,train
TR_200,80,1,52,train
TR_201,20,1,20,train
TR_201,40,1,40,train
TR_201,80,1,49,train
TR_202,20,1,20,train
TR_202,40,1,40,train
TR_202,80,1,80,train
TR_203,20,1,4,train
TR_203,40,1,4,train
TR_203,80,1,4,train
TR_204,20,1,20,train
TR_204,40,1,40,train
TR_204,80,1,80,train
TR_205,20,1,20,train
TR_205,40,1,40,train
TR_205,80,1,44,train
TR_206,20,1,20,train
TR_206,40,1,40,train
TR_206,80,1,80,train
TR_207,20,1,20,train
TR_207,40,1,40,train
TR_207,80,1,63,train
TR_208,20,1,20,train
TR_208,40,1,40,train
TR_208,80,1,55,train
TR_209,20,1,20,train
TR_209,40,1,25,train
TR_209,80,1,25,train
TR_210,20,1,20,train
TR_210,40,1,40,train
TR_210,80,1,64,train
TR_211,20,1,20,train
TR_211,40,1,40,train
TR_211,80,1,58,train
TR_212,20,1,20,train
TR_212,40,1,36,train
TR_212,80,1,36,train
TR_213,20,1,20,train
TR_213,40,1,22,train
TR_213,80,1,22,train
TR_214,20,1,20,train
TR_214,40,1,40,train
TR_214,80,1,55,train
TR_215,20,1,6,train
TR_215,40,1,6,train
TR_215,80,1,6,train
TR_216,20,1,20,train
TR_216,40,1,40,train
TR_216,80,1,51,train
TR_217,20,1,20,train
TR_217,40,1,40,train
TR_217,80,1,55,train
TR_218,20,1,20,train
TR_218,40,1,40,train
TR_218,80,1,45,train
TR_219,20,1,20,train
TR_219,40,1,40,train
TR_219,80,1,43,train
TR_221,20,1,20,train
TR_221,40,1,40,train
TR_221,80,1,80,train
TR_222,20,1,20,train
TR_222,40,1,40,train
TR_222,80,1,56,train
TR_223,20,1,20,train
TR_223,40,1,40,train
TR_223,80,1,43,train
TR_224,20,1,20,train
TR_224,40,1,40,train
TR_224,80,1,77,train
TR_226,20,1,20,train
TR_226,40,1,40,train
TR_226,80,1,44,train
TR_227,20,1,20,train
TR_227,40,1,22,train
TR_227,80,1,22,train
TR_228,20,1,20,train
TR_228,40,1,40,train
TR_228,80,1,80,train
TR_229,20,1,20,train
TR_229,40,1,40,train
TR_229,80,1,48,train
TR_230,20,1,8,train
TR_230,40,1,8,train
TR_230,80,1,8,train
TR_231,20,1,20,train
