rep,model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
13,shuffle,23296,0.9843320741758241,0.2205099587912088,0.5246823489010989,0.6962139423076923,0.41992826856427085,0.2240198857441891,0.7072958004448127,14960,0.8156741613389843,0.9802313535911602,0.8904136443834543
14,shuffle,23296,0.9843320741758241,0.22703468406593408,0.5328811813186813,0.6958276098901099,0.425674449861377,0.2306484671405521,0.706903318651607,14960,0.8162018401380103,0.9802313535911602,0.8907279573266395
15,shuffle,23296,0.9843320741758241,0.2240728021978022,0.5338255494505495,0.6982743818681318,0.4243040981044882,0.22763944005930836,0.7093890366752431,14960,0.8160811978116902,0.9786774861878453,0.8900141309467734
16,shuffle,23296,0.9843320741758241,0.22411572802197802,0.5351991758241759,0.6966432005494505,0.42440342040901974,0.22768304914744233,0.7077318913261523,14960,0.8154907314269292,0.979799723756906,0.8901262646066975
17,shuffle,23296,0.9843320741758241,0.22338598901098902,0.530992445054945,0.6969436813186813,0.4231544712745297,0.2269416946491649,0.7080371549430902,14960,0.8157156220767072,0.9785911602209945,0.889760998390958
18,shuffle,23296,0.9843320741758241,0.2208962912087912,0.5314646291208791,0.6984460851648352,0.4223051043307595,0.2244123675373948,0.709563473027779,14960,0.8164379624973058,0.9810082872928176,0.8911892718503706
19,shuffle,23296,0.9843320741758241,0.22617616758241757,0.5373883928571429,0.6972441620879121,0.4255420721348225,0.22977628537787276,0.7083424185600279,14960,0.8162752280399339,0.9810946132596685,0.8911279256674638
20,shuffle,23296,0.9843320741758241,0.22630494505494506,0.5330099587912088,0.6958276098901099,0.4251364612323351,0.22990711264227465,0.706903318651607,14960,0.8188834391229083,0.9800587016574586,0.8922508645080164
21,shuffle,23296,0.9843320741758241,0.2288804945054945,0.5328811813186813,0.6994333791208791,0.4271635435087839,0.23252365793031268,0.7105664820548603,14960,0.8188839962463005,0.9792817679558011,0.89192907968707
22,shuffle,23296,0.9843320741758241,0.22570398351648352,0.5313358516483516,0.6966432005494505,0.4246116971564598,0.22929658540839912,0.7077318913261523,14960,0.8171864870705179,0.9793680939226519,0.8909569246475831
23,shuffle,23296,0.9843320741758241,0.2210679945054945,0.527086195054945,0.6940676510989011,0.420997990070597,0.22458680388993066,0.7051153460381143,14960,0.8150032241885792,0.9819578729281768,0.8907247171214909
24,shuffle,23296,0.9843320741758241,0.22342891483516483,0.5310782967032966,0.696042239010989,0.4229179808414599,0.22698530373729886,0.7071213640922769,14960,0.8163910855499641,0.9803176795580111,0.8908762846159881
25,shuffle,23296,0.9843320741758241,0.22411572802197802,0.5333962912087912,0.6954412774725275,0.4239929304843796,0.22768304914744233,0.7065108368584013,14960,0.8169459828813925,0.9804903314917127,0.8912779063836466
26,shuffle,23296,0.9843320741758241,0.2212396978021978,0.5303485576923077,0.698489010989011,0.42216640582439424,0.22476124024246652,0.709607082115913,14960,0.815223623853211,0.981871546961326,0.8908208020050126
27,shuffle,23296,0.9843320741758241,0.22651957417582416,0.5324948489010989,0.701407967032967,0.42545232073273004,0.23012515808294448,0.7125725001090227,14960,0.8154949784791966,0.981353591160221,0.8907694718696129
